b_cate,m_cate,s_href,s_cate,book_img,book_name,book_url,book_desc,book_price,book_author,book_publish_data,book_press,book_comment
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/35/8/1371649985-1_b_1.jpg, 书虫4级上下(适合高一高二年级四级全套18本+MP3光盘)书虫牛津英汉双语读物英语小说书虫高中英语阅读中英文双语书书虫 书虫4级上下(适合高一高二年级四级全套18本+MP3光盘),http://product.dangdang.com/1371649985.html,,¥189.00,,2018-06-28,外语教学与研究出版社,233条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m4.ddimg.cn/89/15/1087453214-1_b_1.jpg, 正版现货 习近平关于全面从严治党论述摘编（大字本） 原装正版，闪电发货，正规机打增值税发票,http://product.dangdang.com/1087453214.html,,¥38.00,中共中央文献研究室,2016-11-01,社:中央文献出版社,71条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/68/16/1371583985-1_b_1.jpg, 正版书虫4级上(适高一高二年级)(全套9册+MP3光盘)书虫牛津英汉双语读物系列 初高中学生课外英语阅读中英文书籍 书 书虫4级上(适高一高二年级),http://product.dangdang.com/1371583985.html,,¥128.00,,2018-06-28,外语教学与研究出版社,77条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/74/2/1458046829-1_b_1.jpg, 剑桥英语青少版 学生包 入门级 第一版 英语培训教材对应KET考试教材含学生用书+视听包+同步训练+DVD手册剑桥英语 剑桥英语青少版 学生包 入门级,http://product.dangdang.com/1458046829.html,,¥139.00,,2018-08-03,外语教学与研究出版社,107条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/88/34/1371576085-1_b_1.jpg, 书虫一级上1级上共10本含MP3光盘 适合初一初二学生 牛津英汉双语读物 初中生学生英语小说课外阅读书籍 书虫一级上1级上共10本含MP3光盘,http://product.dangdang.com/1371576085.html,,¥108.00,,2018-06-28,外语教学与研究出版社,54条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/30/32/1371599985-1_b_1.jpg, 书虫 3级下(适合初三3.高一1+全套11册+英文MP3光盘)书虫牛津英汉双语读物系列三级下册初中高中课外阅读 外研社 书虫 3级下(适合初三3.高一1+全套11册+英文MP3光盘),http://product.dangdang.com/1371599985.html,,¥128.00,,2018-06-29,外语教学与研究出版社,31条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m9.ddimg.cn/42/25/1423956939-1_b_2.jpg, 英文原版 Super Simple Songs早教英文儿歌cd歌曲DVD 送配套卡片7DVD+6CD 具体光碟数以商品详情为准,http://product.dangdang.com/1423956939.html,,¥269.00,广东音像出版社,2019-02-21,广东音像出版社,69条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/44/15/1371631085-1_b_1.jpg, 书虫1级中(初一初二全套13册+英文mp3盘)书虫牛津英汉双语读物系列外研社 英语读物 英语美文小说 中英对照英文原著 书虫1级中(初一初二全套13册+英文mp3盘),http://product.dangdang.com/1371631085.html,,¥138.00,,2018-06-29,外语教学与研究出版社,36条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/3/33/1371597285-1_b_1.jpg, 书虫4级下(高一高二高三全套共9册+英文MP3)四级下外研社 高中生英语阅读 课外阅读书籍 书虫牛津英汉双语读物 书虫 书虫4级下(高一高二高三全套共9册+英文MP3,http://product.dangdang.com/1371597285.html,,¥158.00,,2018-06-29,外语教学与研究出版社,55条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/79/6/1371585085-1_b_1.jpg, 正版书虫5级全套(高二高三+英文MP3盘)书虫牛津英汉双语读物系列 书虫高中大学中英文双语读物英语小说世界名著课外阅读 正版书虫5级全套(高二高三+英文MP3盘),http://product.dangdang.com/1371585085.html,,¥138.00,,2018-07-03,外语教学与研究出版社,68条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m6.ddimg.cn/36/15/1055849886-1_b_2.jpg, 习近平关于全面从严治党论述摘编（小） 原装正版 当天发货,http://product.dangdang.com/1055849886.html,,¥17.80,其他,2016-12-08,其他,43条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/29/15/1444602485-1_b_1.jpg, 正版可点读朗文外研社新概念英语青少版入门级A+B全套ab学生用书+练习册快乐英语教材附DVD+mp3光盘新概念少儿英语 新概念英语青少版入门级A+B全套,http://product.dangdang.com/1444602485.html,,¥139.00,,2018-07-09,外语教学与研究出版社,56条评论
期刊音像,教育音像,http://category.dangdang.com/cp07.17.00.00.00.00.html,文学 其他,http://img3m5.ddimg.cn/45/25/1371641085-1_b_1.jpg, 书虫入门级(1)(美绘光盘版)(适合小学高年级初一学生)书虫全套牛津英汉双语读物系列 四五六七年级初中英语小说中英对照 书虫入门级(1)(美绘光盘版)(适合小学高年级初一学生),http://product.dangdang.com/1371641085.html,,¥118.00,,2018-06-29,外语教学与研究出版社,62条评论
